0.000000000000000000e+00,1.000000000000000000e+00,3.015652097186968206e+01
2.000000000000000000e+00,1.000000000000000000e+00,3.054229804570675455e+01
4.000000000000000000e+00,1.000000000000000000e+00,3.221523931408587060e+01
6.000000000000000000e+00,1.000000000000000000e+00,3.470727832395311196e+01
8.000000000000000000e+00,1.000000000000000000e+00,3.869525385800351813e+01
1.000000000000000000e+01,1.000000000000000000e+00,4.401464747044410331e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.084973052196308174e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.666352434609417088e+01
1.600000000000000000e+01,1.000000000000000000e+00,6.241847372356765078e+01
1.800000000000000000e+01,1.000000000000000000e+00,6.818378315926092625e+01
2.000000000000000000e+01,1.000000000000000000e+00,7.351391671840342212e+01
2.200000000000000000e+01,1.000000000000000000e+00,7.860820102635209139e+01
2.400000000000000000e+01,1.000000000000000000e+00,8.332413418186061449e+01
2.600000000000000000e+01,1.000000000000000000e+00,8.880176562267534734e+01
2.800000000000000000e+01,1.000000000000000000e+00,9.265054774290128137e+01
3.000000000000000000e+01,1.000000000000000000e+00,9.445614597428715342e+01
3.200000000000000000e+01,1.000000000000000000e+00,9.844067031144572866e+01
3.400000000000000000e+01,1.000000000000000000e+00,1.011945151628438566e+02
3.600000000000000000e+01,1.000000000000000000e+00,1.017949073319452680e+02
3.800000000000000000e+01,1.000000000000000000e+00,1.027138842373516070e+02
4.000000000000000000e+01,1.000000000000000000e+00,1.031012668409813102e+02
4.200000000000000000e+01,1.000000000000000000e+00,1.031956145019218383e+02
4.400000000000000000e+01,1.000000000000000000e+00,1.032380075040022120e+02
4.600000000000000000e+01,1.000000000000000000e+00,1.076605597673622299e+02
4.800000000000000000e+01,1.000000000000000000e+00,1.113376192527722850e+02
5.000000000000000000e+01,1.000000000000000000e+00,1.152706988500189169e+02
5.200000000000000000e+01,1.000000000000000000e+00,1.189199802109523603e+02
5.400000000000000000e+01,1.000000000000000000e+00,1.242134475580189701e+02
5.600000000000000000e+01,1.000000000000000000e+00,1.311532355923082775e+02
5.800000000000000000e+01,1.000000000000000000e+00,1.370873445330053073e+02
6.000000000000000000e+01,1.000000000000000000e+00,1.434798644159740206e+02
6.200000000000000000e+01,1.000000000000000000e+00,1.486619009411265324e+02
6.400000000000000000e+01,1.000000000000000000e+00,1.538711571399753950e+02
6.600000000000000000e+01,1.000000000000000000e+00,1.597164686132566658e+02
6.800000000000000000e+01,1.000000000000000000e+00,1.658595459037201181e+02
7.000000000000000000e+01,1.000000000000000000e+00,1.712641307720337238e+02
7.200000000000000000e+01,1.000000000000000000e+00,1.750905900333470129e+02
7.400000000000000000e+01,1.000000000000000000e+00,1.806565136981474780e+02
7.600000000000000000e+01,1.000000000000000000e+00,1.843788969032236764e+02
7.800000000000000000e+01,1.000000000000000000e+00,1.880013557273678941e+02
8.000000000000000000e+01,1.000000000000000000e+00,1.917792884782918748e+02
8.200000000000000000e+01,1.000000000000000000e+00,1.936632782357701217e+02
8.400000000000000000e+01,1.000000000000000000e+00,1.960423807582616007e+02
8.600000000000000000e+01,1.000000000000000000e+00,1.961335223843789777e+02
8.800000000000000000e+01,1.000000000000000000e+00,1.976337377011157344e+02
9.000000000000000000e+01,1.000000000000000000e+00,1.983396135662966060e+02
9.200000000000000000e+01,1.000000000000000000e+00,1.972929812295210752e+02
9.400000000000000000e+01,1.000000000000000000e+00,1.972446714073358862e+02
9.600000000000000000e+01,1.000000000000000000e+00,1.960666344345259233e+02
9.800000000000000000e+01,1.000000000000000000e+00,1.940083515469322322e+02
0.000000000000000000e+00,2.000000000000000000e+00,9.958190865856484209e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.982770612436283386e+01
4.000000000000000000e+00,2.000000000000000000e+00,9.690282855393179773e+01
6.000000000000000000e+00,2.000000000000000000e+00,9.673189907207269300e+01
8.000000000000000000e+00,2.000000000000000000e+00,9.499210550799281805e+01
1.000000000000000000e+01,2.000000000000000000e+00,9.208160755373660322e+01
1.200000000000000000e+01,2.000000000000000000e+00,8.877689755015447304e+01
1.400000000000000000e+01,2.000000000000000000e+00,8.557587651036818954e+01
1.600000000000000000e+01,2.000000000000000000e+00,8.082074460168215069e+01
1.800000000000000000e+01,2.000000000000000000e+00,7.510787643202061759e+01
2.000000000000000000e+01,2.000000000000000000e+00,7.100532423432055396e+01
2.200000000000000000e+01,2.000000000000000000e+00,6.471176974091982004e+01
2.400000000000000000e+01,2.000000000000000000e+00,5.975432062564490820e+01
2.600000000000000000e+01,2.000000000000000000e+00,5.283179467295207132e+01
2.800000000000000000e+01,2.000000000000000000e+00,4.657219091436645897e+01
3.000000000000000000e+01,2.000000000000000000e+00,4.174956382205026273e+01
3.200000000000000000e+01,2.000000000000000000e+00,3.541264077585605463e+01
3.400000000000000000e+01,2.000000000000000000e+00,3.041289737962759432e+01
3.600000000000000000e+01,2.000000000000000000e+00,3.015773461441434122e+01
3.800000000000000000e+01,2.000000000000000000e+00,2.703262243678601706e+01
4.000000000000000000e+01,2.000000000000000000e+00,2.860921616011290070e+01
4.200000000000000000e+01,2.000000000000000000e+00,3.227390465086305227e+01
4.400000000000000000e+01,2.000000000000000000e+00,3.454626990362425687e+01
4.600000000000000000e+01,2.000000000000000000e+00,3.742030964895864287e+01
4.800000000000000000e+01,2.000000000000000000e+00,4.020913663701743701e+01
5.000000000000000000e+01,2.000000000000000000e+00,4.344667555411457016e+01
5.200000000000000000e+01,2.000000000000000000e+00,4.625759549293106687e+01
5.400000000000000000e+01,2.000000000000000000e+00,4.877012470104305919e+01
5.600000000000000000e+01,2.000000000000000000e+00,5.231966049857495449e+01
5.800000000000000000e+01,2.000000000000000000e+00,5.461486812555059345e+01
6.000000000000000000e+01,2.000000000000000000e+00,5.709624570313776104e+01
6.200000000000000000e+01,2.000000000000000000e+00,5.977073711647352638e+01
6.400000000000000000e+01,2.000000000000000000e+00,6.186055921348948772e+01
6.600000000000000000e+01,2.000000000000000000e+00,6.441550500096801102e+01
6.800000000000000000e+01,2.000000000000000000e+00,6.559263581516042052e+01
7.000000000000000000e+01,2.000000000000000000e+00,6.884373355802982530e+01
7.200000000000000000e+01,2.000000000000000000e+00,6.895508976894397790e+01
7.400000000000000000e+01,2.000000000000000000e+00,7.056018561376548348e+01
7.600000000000000000e+01,2.000000000000000000e+00,7.183752306228853968e+01
7.800000000000000000e+01,2.000000000000000000e+00,7.094084104517342837e+01
8.000000000000000000e+01,2.000000000000000000e+00,7.151944962654025062e+01
8.200000000000000000e+01,2.000000000000000000e+00,7.309752635013624911e+01
8.400000000000000000e+01,2.000000000000000000e+00,7.252684452798244763e+01
8.600000000000000000e+01,2.000000000000000000e+00,7.247531393009636247e+01
8.800000000000000000e+01,2.000000000000000000e+00,7.115412505626754580e+01
9.000000000000000000e+01,2.000000000000000000e+00,7.051240478247363797e+01
9.200000000000000000e+01,2.000000000000000000e+00,6.915779709843279477e+01
9.400000000000000000e+01,2.000000000000000000e+00,6.796197925280843322e+01
9.600000000000000000e+01,2.000000000000000000e+00,6.599315051283463163e+01
9.800000000000000000e+01,2.000000000000000000e+00,6.545641897417847588e+01
0.000000000000000000e+00,3.000000000000000000e+00,1.623704400814320934e+02
2.000000000000000000e+00,3.000000000000000000e+00,1.632785884429849546e+02
4.000000000000000000e+00,3.000000000000000000e+00,1.644285401514271143e+02
6.000000000000000000e+00,3.000000000000000000e+00,1.652985498510552986e+02
8.000000000000000000e+00,3.000000000000000000e+00,1.645383729642332753e+02
1.000000000000000000e+01,3.000000000000000000e+00,1.638665159413077106e+02
1.200000000000000000e+01,3.000000000000000000e+00,1.615575918602442869e+02
1.400000000000000000e+01,3.000000000000000000e+00,1.587536712077263417e+02
1.600000000000000000e+01,3.000000000000000000e+00,1.559523836695358909e+02
1.800000000000000000e+01,3.000000000000000000e+00,1.507867803901845889e+02
2.000000000000000000e+01,3.000000000000000000e+00,1.462506750166932648e+02
2.200000000000000000e+01,3.000000000000000000e+00,1.402785173165811443e+02
2.400000000000000000e+01,3.000000000000000000e+00,1.358502975153645878e+02
2.600000000000000000e+01,3.000000000000000000e+00,1.299466953533270157e+02
2.800000000000000000e+01,3.000000000000000000e+00,1.239314897465019101e+02
3.000000000000000000e+01,3.000000000000000000e+00,1.189410170203375117e+02
3.200000000000000000e+01,3.000000000000000000e+00,1.128249142771642539e+02
3.400000000000000000e+01,3.000000000000000000e+00,1.059524612466336748e+02
