0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.333333333327244338e-03,2.999965277898341554e-01,1.249992766218621871e-03
2.000000000000000111e-01,1.666666666666001551e-02,5.999722226080222987e-01,4.999884260327274940e-03
3.000000000000000444e-01,2.499999999998954101e-02,8.999062529296442126e-01,1.124941407470141791e-02
4.000000000000000222e-01,3.333333333332542947e-02,1.199777790123130794e+00,1.999814821672659185e-02
5.000000000000000000e-01,4.166666666665975322e-02,1.499566009896688090e+00,3.124547913893662571e-02
6.000000000000000888e-01,4.999999999999261285e-02,1.799250093744420909e+00,4.499062578120417710e-02
7.000000000000000666e-01,5.833333333332668680e-02,2.098809230392053582e+00,6.123263362498072848e-02
8.000000000000000444e-01,6.666666666665954644e-02,2.398222617242149468e+00,7.997037475958218566e-02
9.000000000000000222e-01,7.499999999999189260e-02,2.697469461818726266e+00,1.012025479605155737e-01
1.000000000000000000e+00,8.333333333332515469e-02,2.996528983211171226e+00,1.249276787798413169e-01
1.100000000000000089e+00,9.166666666665826413e-02,3.295380413517350782e+00,1.511441196485648897e-01
1.200000000000000178e+00,9.999999999999166500e-02,3.594002999285816902e+00,1.798500499910506145e-01
1.300000000000000044e+00,1.083333333333253573e-01,3.892376002957011583e+00,2.110434763514498213e-01
1.400000000000000133e+00,1.166666666666589663e-01,4.190478704303367330e+00,2.447222325321345426e-01
1.500000000000000000e+00,1.249999999999923672e-01,4.488290401868201940e+00,2.808839797441269326e-01
1.600000000000000089e+00,1.333333333333254211e-01,4.785790414403312099e+00,3.195262067695142649e-01
1.700000000000000178e+00,1.416666666666586138e-01,5.082958082305164105e+00,3.606462301358380196e-01
1.800000000000000044e+00,1.499999999999921396e-01,5.379772769049578685e+00,4.042411943024452059e-01
1.900000000000000133e+00,1.583333333333254156e-01,5.676213862624813977e+00,4.503080718587885167e-01
2.000000000000000000e+00,1.666666666666593577e-01,5.972260776962949436e+00,4.988436637346619351e-01
2.100000000000000089e+00,1.749999999999925226e-01,6.267892953369463171e+00,5.498445994223571942e-01
2.200000000000000178e+00,1.833333333333256598e-01,6.563089861950913040e+00,6.033073372107253807e-01
2.300000000000000266e+00,1.916666666666591301e-01,6.857831003040613105e+00,6.592281644311277500e-01
2.400000000000000355e+00,1.999999999999927669e-01,7.152095908622214893e+00,7.176031977152583785e-01
2.500000000000000000e+00,2.083333333333264037e-01,7.445864143751089514e+00,7.784283832648210000e-01
2.600000000000000089e+00,2.166666666666598462e-01,7.739115307973412072e+00,8.416994971330410413e-01
2.700000000000000178e+00,2.249999999999933720e-01,8.031829036742850647e+00,9.074121455179938733e-01
2.800000000000000266e+00,2.333333333333269533e-01,8.323985002834763947e+00,9.755617650677277375e-01
2.900000000000000355e+00,2.416666666666602292e-01,8.615562917757806360e+00,1.046143623197161476e+00
